region,W_A00-A04,M_A00-A04,W_A05-A14,M_A05-A14,W_A15-A34,M_A15-A34,W_A35-A59,M_A35-A59,W_A60-A79,M_A60-A79,W_A80+,M_A80+
ABG,0,0,0,0,3,0,12,8,4,6,0,2
EIC,1,0,0,1,12,12,26,18,6,9,1,3
EA,0,0,0,0,1,1,1,1,3,2,0,1
EF,2,0,1,0,20,17,16,28,13,10,1,2
G,0,0,0,0,3,5,9,17,10,4,1,2
GTH,0,0,0,1,8,7,17,16,4,5,3,1
GRZ,0,0,0,2,18,10,76,36,23,27,18,15
HBN,0,0,0,0,0,2,4,3,1,0,1,0
IK,0,0,2,3,12,4,20,21,13,19,3,5
J,1,2,1,4,31,39,24,29,7,7,4,4
KYF,0,0,0,1,6,2,8,13,2,3,1,0
NDH,1,0,1,1,2,2,7,8,2,4,0,1
SHK,1,0,0,0,4,10,12,11,7,3,1,0
SOK,0,0,1,1,6,6,23,9,7,11,18,3
SLF,0,0,1,0,2,4,12,14,9,10,2,1
SM,0,0,0,0,7,8,16,14,4,4,1,1
SOM,0,1,0,0,4,6,7,8,1,5,0,0
SON,0,1,0,0,2,6,12,8,4,7,0,1
SHL,0,0,0,0,0,2,2,4,0,2,1,0
UH,0,1,0,0,0,1,18,13,5,5,0,4
WAK,0,0,1,0,3,3,6,12,2,2,1,1
WE,0,1,0,0,8,7,10,16,4,5,2,2
AP,0,0,1,2,4,2,14,9,6,7,6,7
TH,6,6,9,16,156,156,352,316,137,157,65,56
